id;category;label;plan_copy;dxf_x_mm;dxf_y_mm;dxf_layer;text_height_mm;source_entity;raw_text
hall_main_001;hall;FOAJÉ;main;-34354.32;37354.04;A120-300;500.03;MTEXT;FOAJÉ
hall_main_002;hall;FOAJÉ;main;32673.54;37293.54;A120-300;500.03;MTEXT;FOAJÉ
storage_main_001;storage;FÖRRÅD;main;43849.94;11495.2;A120-300;500.03;MTEXT;FÖRRÅD
storage_main_002;storage;FÖRRÅD;main;45490.66;6008.64;A120-300;500.03;MTEXT;FÖRRÅD
storage_main_003;storage;FÖRRÅD;main;43780.97;-11121.43;A120-300;500.03;MTEXT;FÖRRÅD
restroom_accessible_main_001;restroom_accessible;HWC;main;39919.86;-21325.17;A120-300;500.03;MTEXT;HWC
storage_main_004;storage;FÖRRÅD;main;33750.8;-24718.13;A120-300;500.03;MTEXT;FÖRRÅD
hall_main_003;hall;FOAJÉ;main;32629.15;-37817.92;A120-300;500.03;MTEXT;FOAJÉ
restroom_women_main_001;restroom_women;DAMTOALETT;main;22287.39;-31082.5;A120-300;500.03;MTEXT;DAMTOALETT
storage_main_005;storage;FÖRRÅD;main;16392.99;-28942.59;A120-300;500.03;MTEXT;FÖRRÅD
storage_main_006;storage;FÖRRÅD;main;18148.0;-32431.99;A120-300;500.03;MTEXT;FÖRRÅD
restroom_generic_main_001;restroom_generic;WC;main;15830.75;-30293.35;A120-300;500.03;MTEXT;WC
restroom_generic_main_002;restroom_generic;WC;main;17359.65;-30756.75;A120-300;500.03;MTEXT;WC
hall_main_004;hall;FOAJÉ;main;-34369.37;-37817.92;A120-300;500.03;MTEXT;FOAJÉ
restroom_women_main_002;restroom_women;DAMTOALETT;main;4889.31;-34659.46;A120-300;500.03;MTEXT;DAMTOALETT
storage_main_007;storage;FÖRRÅD;main;4900.95;-30832.86;A120-300;500.03;MTEXT;FÖRRÅD
restroom_men_main_001;restroom_men;HERRTOALETT;main;-8842.95;-33379.89;A120-300;500.03;MTEXT;HERRTOALETT
elevator_main_001;elevator;HISS 5;main;40415.89;38394.2;A120-300;500.03;MTEXT;HISS 5
elevator_main_002;elevator;HISS 6;main;-20345.83;-45048.94;A120-300;500.03;MTEXT;HISS 6
stair_main_001;stair;TRAPPA;main;46859.69;45869.84;A120-300;500.03;MTEXT;TRAPPA
stair_main_002;stair;TRAPPA E;main;-15641.73;48376.37;A120-300;500.03;MTEXT;TRAPPA E
stair_main_003;stair;TRAPPA H;main;13038.41;48276.37;A120-300;500.03;MTEXT;TRAPPA H
kiosk_main_001;kiosk;KIOSK 1:1;main;18148.0;-34496.85;A120-300;500.03;MTEXT;KIOSK 1:1
stair_main_004;stair;TRAPPA P;main;12918.27;-48731.6;A120-300;500.03;MTEXT;TRAPPA P
stair_main_005;stair;TRAPPA S;main;-15858.58;-48834.33;A120-300;500.03;MTEXT;TRAPPA S
restroom_women_main_003;restroom_women;DAMTOALETT;main;5400.0;-34341.5;A120;175.0;MTEXT;DAMTOALETT
storage_main_008;storage;FÖRRÅD;main;5400.0;-30741.5;A120;175.0;MTEXT;FÖRRÅD
storage_main_009;storage;FÖRRÅD;main;16800.0;-28941.5;A120;175.0;MTEXT;FÖRRÅD
storage_main_010;storage;FÖRRÅD;main;18419.46;-32280.28;A120;175.0;MTEXT;FÖRRÅD
kiosk_main_002;kiosk;KIOSK 1:1;main;16800.0;-34640.4;A120;175.0;MTEXT;KIOSK 1:1
restroom_women_main_004;restroom_women;DAMTOALETT;main;22800.0;-31341.5;A120;175.0;MTEXT;DAMTOALETT
storage_main_011;storage;FÖRRÅD;main;34200.0;-24741.5;A120;175.0;MTEXT;FÖRRÅD
restroom_accessible_main_002;restroom_accessible;HWC;main;39600.0;-21441.5;A120;175.0;MTEXT;HWC
hall_main_005;hall;FOAJÉ;main;33000.0;-37641.5;A120;175.0;MTEXT;FOAJÉ
hall_main_006;hall;FOAJÉ;main;-33600.0;-37641.5;A120;175.0;MTEXT;FOAJÉ
storage_main_012;storage;FÖRRÅD;main;45900.0;6458.5;A120;175.0;MTEXT;FÖRRÅD
storage_main_013;storage;FÖRRÅD;main;44400.0;11858.5;A120;175.0;MTEXT;FÖRRÅD
hall_main_007;hall;FOAJÉ;main;33000.0;37358.5;A120;175.0;MTEXT;FOAJÉ
entrance_stand_main_001;entrance_stand;LÄKTARENTRÉ;main;-5400.0;33158.5;A120;175.0;MTEXT;LÄKTARENTRÉ
hall_main_008;hall;FOAJÉ;main;-33600.0;37358.5;A120;175.0;MTEXT;FOAJÉ
stair_main_006;stair;TRAPPA P;main;13800.0;-48741.5;A120;175.0;MTEXT;TRAPPA P
stair_main_007;stair;TRAPPA S;main;-14700.0;-48741.5;A120;175.0;MTEXT;TRAPPA S
stair_main_008;stair;TRAPPA H;main;17670.2;48458.5;A120;175.0;MTEXT;TRAPPA H
stair_main_009;stair;TRAPPA E;main;-14700.0;48458.5;A120;175.0;MTEXT;TRAPPA E
restroom_generic_main_003;restroom_generic;WC;main;17566.46;-30279.19;A120;175.0;MTEXT;WC
restroom_generic_main_004;restroom_generic;WC;main;16107.71;-30279.19;A120;175.0;MTEXT;WC
elevator_main_003;elevator;HISS 5;main;41042.35;37784.16;A120;175.0;MTEXT;HISS 5
elevator_main_004;elevator;HISS 6;main;-19794.37;-45658.98;A120;175.0;MTEXT;HISS 6
stair_main_010;stair;TRAPPA;main;47186.15;45934.8;A120;175.0;MTEXT;TRAPPA
hall_main_009;hall;FOAJÉ;main;33002.92;42356.71;A120;175.0;MTEXT;FOAJÉ
restroom_wheelchair_main_001;restroom_wheelchair;RWC;main;-9054.09;36205.39;A-U-----T1-200;500.0;MTEXT;RWC
restroom_generic_main_005;restroom_generic;TOALETT;main;-7156.76;36366.65;A-U-----T1-200;500.0;MTEXT;TOALETT
restroom_generic_main_006;restroom_generic;TOALETT;main;-2430.79;33450.52;A-U-----T1-200;500.0;MTEXT;TOALETT
kitchen_main_001;kitchen;KÖK;main;-56655.03;30781.21;A-U-----T1-200;500.0;MTEXT;KÖK
office_main_001;office;KONTOR;main;-55202.42;17631.76;A-U-----T1-200;500.0;MTEXT;KONTOR
elevator_main_005;elevator;HISS 4;main;-52278.72;22712.83;A-U-----T1-200;500.0;MTEXT;HISS 4
elevator_main_006;elevator;HISS 7;main;-73660.25;12861.78;A-U-----T1-200;500.0;MTEXT;HISS 7
elevator_main_007;elevator;HISS 2;main;-58493.41;6157.75;A-U-----T1-200;500.0;MTEXT;HISS 2
kitchen_main_002;kitchen;PENTRY;main;-69618.1;15900.16;A-U-----T1-200;500.0;MTEXT;PENTRY
storage_main_014;storage;FÖRRÅD;main;-50094.42;28193.77;A-U-----T1-200;500.0;MTEXT;FÖRRÅD
restroom_generic_main_007;restroom_generic;WC;main;-61565.13;32351.39;A-U-----T1-200;500.0;MTEXT;WC
technical_main_001;technical;ELC;main;-54895.54;5603.34;A-U-----T1-200;500.0;MTEXT;ELC
hall_main_010;hall;FOAJÉ;main;-50873.21;-1504.73;A-U-----T1-200;500.0;MTEXT;FOAJÉ
entrance_hall_main_001;entrance_hall;ENTRÉHALL;main;-65368.78;-5200.12;A-U-----T1-200;500.0;MTEXT;ENTRÉHALL
entrance_main_main_001;entrance_main;GÄSTENTRÉ;main;-63270.98;-23748.27;A-U-----T1-200;500.0;MTEXT;GÄSTENTRÉ
entrance_main_main_002;entrance_main;ENTRÉ;main;-51477.59;-27925.95;A-U-----T1-200;500.0;MTEXT;ENTRÉ
entrance_stand_main_002;entrance_stand;LÄKTARENTRÉ B;main;-38518.09;12462.95;A-U-----T1-200;500.0;MTEXT;LÄKTARENTRÉ B
entrance_stand_main_003;entrance_stand;LÄKTARENTRÉ C;main;-31181.21;25498.96;A-U-----T1-200;500.0;MTEXT;LÄKTARENTRÉ C
entrance_stand_main_004;entrance_stand;LÄKTARENTRÉ D;main;-14759.58;31227.8;A-U-----T1-200;500.0;MTEXT;LÄKTARENTRÉ D
entrance_main_main_003;entrance_main;ENTRÉ;main;-5428.01;31722.58;A-U-----T1-200;500.0;MTEXT;ENTRÉ
